collision_id,crash_date,crash_time,on_street_name,cross_street_name,off_street_name,borough,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,longitude,latitude
4485565,2021-12-08,0:44,23 STREET,40 AVENUE,,QUEENS,11101,0,0,0,0,0,0,0,0,View Obstructed/Limited,-73.93946,40.754295
4484836,2021-12-08,15:00,AVENUE Y,,,,,0,0,0,0,0,0,0,0,Passing Too Closely,-73.97261,40.588116
4485340,2021-12-10,11:00,,,2123      LURTING AVENUE,BRONX,10461,0,0,0,0,0,0,0,0,Oversized Vehicle,-73.85822,40.854935
4485706,2021-12-10,1:10,SCHENECTADY AVENUE,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-73.93448,40.662575
4485384,2021-12-09,0:00,47 ROAD,,,,,1,0,1,0,0,0,0,0,Unspecified,-73.953415,40.7448
4484799,2021-12-08,18:36,HENRY HUDSON PARKWAY,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,-73.97618,40.79672
4485077,2021-12-09,20:30,,,269-01    76 AVENUE,QUEENS,11004,0,0,0,0,0,0,0,0,Illnes,-73.70743,40.752777
4485090,2021-12-09,10:13,KINGS HIGHWAY,FARRAGUT ROAD,,BROOKLYN,11203,2,0,0,0,0,0,2,0,Traffic Control Disregarded,-73.92607,40.638523
4513697,2022-03-26,14:00,CORSON AVENUE,WESTERVELT AVENUE,,STATEN ISLAND,10301,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,-74.08193,40.637833
4513935,2022-03-26,1:02,WEST 101 STREET,BROADWAY,,MANHATTAN,10025,1,0,0,0,0,0,1,0,Traffic Control Disregarded,-73.96946,40.797836
4513794,2022-03-26,16:02,QUEENS BOULEVARD,57 AVENUE,,QUEENS,11373,1,0,0,0,0,0,1,0,Lost Consciousness,-73.87342,40.734375
4514267,2022-03-26,16:05,115 AVENUE,221 STREET,,QUEENS,11411,1,0,0,0,0,0,1,0,Following Too Closely,-73.736626,40.699947
4514237,2022-03-21,12:05,,,515       WEST 36 STREET,MANHATTAN,10018,1,0,0,0,0,0,1,0,Following Too Closely,-73.999275,40.75632
4513470,2022-03-26,5:13,131 STREET,ATLANTIC AVENUE,,QUEENS,11418,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,-73.81789,40.69614
