collision_id,crash_date,crash_time,street_name,borough,county,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle
4513735,2022-03-26,19:50,60        Washington Square South,Manhattan,New York County,10012,40.730145,-73.99781,1,0,0,0,1,0,0,0,Passenger Distraction
4513958,2022-03-26,13:19,Rockaway Boulevard & 132 Street,Queens,Queens County,11420,40.67478,-73.806206,0,0,0,0,0,0,0,0,Failure To Yield Right-Of-Way
4514367,2022-03-25,8:45,1175      Mc Donald Avenue,Brooklyn,Kings County,11230,40.624622,-73.97598,2,0,0,0,0,0,2,0,Unspecified
4513681,2022-03-26,10:10,Union Street & Plaza Street West,Brooklyn,New York County,11217,40.67271,-73.97089,0,0,0,0,0,0,0,0,Passing Or Lane Usage Improper
4514212,2022-03-26,11:45,Brooklyn Queens Expressway,Queens,Queens County,11104,40.7314,-73.926094,1,0,0,0,0,0,1,0,Reaction To Uninvolved Vehicle
4514420,2022-03-25,14:35,Port Richmond Avenue & Hatfield Place,Staten Island,Richmond County,10302,40.632786,-74.13712,1,0,1,0,0,0,0,0,Failure To Yield Right-Of-Way
4513923,2022-03-26,14:30,Mcclean Avenue & Sand Lane,Staten Island,Richmond County,10305,40.596733,-74.07045,0,0,0,0,0,0,0,0,Backing Unsafely
4513752,2022-03-26,19:00,1549      East 56 Street,Brooklyn,Kings County,11234,40.617645,-73.92092,0,0,0,0,0,0,0,0,Backing Unsafely
4513924,2022-03-26,2:05,Parsons Boulevard & Grand Central Parkway,Queens,Queens County,11432,40.7156103,-73.8076418,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513860,2022-03-26,16:40,436       Atlantic Avenue,Brooklyn,Kings County,11217,40.68651,-73.98378,2,0,0,0,0,0,2,0,Passing Or Lane Usage Improper
4514251,2022-03-24,18:05,Marcy Avenue & Ellery Street,Brooklyn,Kings County,11206,40.69831,-73.9498,0,0,0,0,0,0,0,0,Driver Inattention/Distraction
4513478,2022-03-26,3:35,179 Street,Queens,Queens County,11434,40.692455,-73.76814,1,0,0,0,0,0,1,0,Reaction To Uninvolved Vehicle
